timestep,location,flow,occupy,speed
15,7,206.0,1,1
15,8,229.0,1,1
15,9,335.0,1,1
15,10,498.0,1,1
15,11,541.0,1,1
15,12,367.0,1,1
15,13,665.0,1,1
15,14,230.0,1,1
15,15,279.0,1,1
16,0,548.0,1,1
16,1,219.0,1,1
16,2,225.0,1,1
16,3,202.0,1,1
16,4,233.0,1,1
16,5,218.0,1,1
16,6,378.0,1,1
16,7,162.0,1,1
16,8,172.0,1,1
16,9,302.0,1,1
16,10,309.0,1,1
16,11,475.0,1,1
16,12,322.0,1,1
16,13,523.0,1,1
16,14,206.0,1,1
16,15,232.0,1,1
17,0,585.0,1,1
17,1,300.0,1,1
17,2,265.0,1,1
17,3,99.0,1,1
17,4,228.0,1,1
17,5,462.0,1,1
17,6,398.0,1,1
17,7,260.0,1,1
17,8,143.0,1,1
17,9,396.0,1,1
17,10,390.0,1,1
17,11,451.0,1,1
17,12,619.0,1,1
17,13,478.0,1,1
17,14,564.0,1,1
17,15,502.0,1,1
18,0,834.0,1,1
18,1,462.0,1,1
18,2,234.0,1,1
18,3,84.0,1,1
18,4,224.0,1,1
18,5,1245.0,1,1
18,6,286.0,1,1
18,7,486.0,1,1
18,8,100.0,1,1
18,9,364.0,1,1
18,10,439.0,1,1
18,11,251.0,1,1
18,12,755.0,1,1
18,13,899.0,1,1
18,14,1475.0,1,1
18,15,1008.0,1,1
19,0,1034.0,1,1
19,1,516.0,1,1
19,2,234.0,1,1
19,3,90.0,1,1
19,4,255.0,1,1
19,5,1016.0,1,1
19,6,351.0,1,1
19,7,489.0,1,1
19,8,131.0,1,1
19,9,437.0,1,1
19,10,390.0,1,1
19,11,453.0,1,1
19,12,1060.0,1,1
19,13,676.0,1,1
19,14,1535.0,1,1
19,15,874.0,1,1
20,0,835.0,1,1
20,1,279.0,1,1
20,2,224.0,1,1
20,3,81.0,1,1
20,4,244.0,1,1
20,5,2276.0,1,1
20,6,328.0,1,1
20,7,715.0,1,1
20,8,119.0,1,1
20,9,337.0,1,1
20,10,473.0,1,1
20,11,413.0,1,1
20,12,871.0,1,1
20,13,1037.0,1,1
20,14,2183.0,1,1
20,15,1333.0,1,1
21,0,743.0,1,1
21,1,409.0,1,1
21,2,231.0,1,1
21,3,142.0,1,1
21,4,225.0,1,1
21,5,301.0,1,1
21,6,323.0,1,1
21,7,222.0,1,1
21,8,135.0,1,1
21,9,369.0,1,1
21,10,392.0,1,1
21,11,641.0,1,1
21,12,376.0,1,1
21,13,485.0,1,1
21,14,309.0,1,1
21,15,301.0,1,1
22,0,739.0,1,1
22,1,430.0,1,1
22,2,278.0,1,1
22,3,131.0,1,1
22,4,294.0,1,1
22,5,533.0,1,1
22,6,445.0,1,1
22,7,248.0,1,1
22,8,152.0,1,1
22,9,596.0,1,1
22,10,431.0,1,1
22,11,713.0,1,1
22,12,680.0,1,1
22,13,398.0,1,1
22,14,504.0,1,1
22,15,440.0,1,1
23,0,559.0,1,1
23,1,392.0,1,1
23,2,265.0,1,1
23,3,165.0,1,1
23,4,415.0,1,1
23,5,738.0,1,1
23,6,519.0,1,1
23,7,300.0,1,1
23,8,213.0,1,1
23,9,497.0,1,1
23,10,340.0,1,1
23,11,640.0,1,1
23,12,1182.0,1,1
23,13,619.0,1,1
23,14,946.0,1,1
23,15,683.0,1,1
24,0,492.0,1,1
24,1,334.0,1,1
24,2,272.0,1,1
24,3,166.0,1,1
24,4,273.0,1,1
24,5,799.0,1,1
